subject,problem_type,learning_block,compression_score
02,1,1,0.04333814205717346
03,1,1,0.023700034091315297
04,1,1,0.06854576834888546
05,1,1,0.0075849448258902274
06,1,1,0.027496375698776415
07,1,1,0.09260591227101211
08,1,1,0.11219998320823374
10,1,1,0.04148945180035016
11,1,1,0.054228093090458035
12,1,1,1.213368305830187e-07
13,1,1,0.018820704993954163
14,1,1,0.08713552426752005
15,1,1,0.03377370182521208
16,1,1,1.025336586746306e-07
17,1,1,0.0350170803715891
18,1,1,0.08670087014541905
19,1,1,0.11221780861521383
20,1,1,0.0026200800994653772
21,1,1,0.022672967234705133
22,1,1,0.10513187088353368
23,1,1,0.027478211834701755
24,1,1,0.11221777100886998
02,2,1,0.026876961609390237
03,2,1,2.7176220598890133e-07
04,2,1,0.015177270780545926
05,2,1,0.022162555132938744
06,2,1,0.02215018264581542
07,2,1,0.003184306879266574
08,2,1,0.01250329050498522
10,2,1,0.0013946397790999543
11,2,1,0.016773321619453108
12,2,1,0.01697229678470974
13,2,1,0.031087687519622625
14,2,1,0.0451489251194061
15,2,1,0.032181355211173185
16,2,1,0.015723390105788243
17,2,1,0.025181347975167107
18,2,1,0.08488329913812323
19,2,1,0.03702285232663141
20,2,1,0.02358069035913954
21,2,1,0.010139111289977215
22,2,1,7.230383320400158e-07
23,2,1,0.003857911710126005
24,2,1,0.013579621672025588
02,6,1,0.10987952136793958
03,6,1,0.11181282589840247
04,6,1,0.07984839259629664
05,6,1,6.492731485785441e-08
06,6,1,0.029788162701892718
07,6,1,0.054485019631571874
08,6,1,0.03963820431214579
10,6,1,0.08687468666664683
11,6,1,0.07404879865883052
12,6,1,0.0708871393163546
13,6,1,0.06934823131691215
14,6,1,0.038408251230519636
15,6,1,0.032810434130926186
16,6,1,0.06030334152827027
17,6,1,0.028308747938404877
18,6,1,0.0472818817293148
19,6,1,0.03444411011684512
20,6,1,-2.908854468408606e-08
21,6,1,0.10584071285857105
22,6,1,0.0013153656062855623
23,6,1,0.0809072556166234
24,6,1,0.05690466820374368
02,1,2,0.023748076195570705
03,1,2,0.025400762188300674
04,1,2,0.07123244076549212
05,1,2,0.01458888192482763
06,1,2,0.03455722999911537
07,1,2,0.11221778981204189
08,1,2,0.11221778981204189
10,1,2,0.0004840209661898798
11,1,2,0.0359765122188033
12,1,2,8.373048676624251e-08
13,1,2,0.0008985744975085197
14,1,2,0.08491240644825532
15,1,2,0.013784895899875443
16,1,2,8.373048676624251e-08
17,1,2,0.11221771459935426
18,1,2,0.11221782741838576
19,1,2,0.11221782741838576
20,1,2,0.00351024106132658
21,1,2,0.011115898464873514
22,1,2,0.11221771459935426
23,1,2,0.02808339192294454
24,1,2,0.11221778981204189
02,2,2,0.00990510581543369
03,2,2,2.153526902082259e-07
04,2,2,0.022246003609919407
05,2,2,0.022081870722230335
06,2,2,0.02294548160534063
07,2,2,0.0018681976639032816
08,2,2,0.01743705478505453
10,2,2,0.01665879149928881
11,2,2,0.001125021096940182
