subject,problem_type,learning_block,compression_score
02,1,1,0.0
03,1,1,0.10009765625
04,1,1,0.0341796875
05,1,1,0.27294921875
06,1,1,0.15283203125
07,1,1,0.22314453125
08,1,1,0.51220703125
10,1,1,0.21630859375
11,1,1,0.05419921875
12,1,1,0.1572265625
13,1,1,0.1533203125
14,1,1,0.26123046875
15,1,1,0.08447265625
16,1,1,0.10009765625
17,1,1,0.33740234375
18,1,1,0.15087890625
19,1,1,0.77978515625
20,1,1,0.47265625
21,1,1,0.1142578125
22,1,1,0.0966796875
23,1,1,0.14208984375
24,1,1,0.212890625
02,2,1,0.2080078125
03,2,1,0.130859375
04,2,1,0.53173828125
05,2,1,0.14404296875
06,2,1,0.39892578125
07,2,1,0.01123046875
08,2,1,0.12646484375
10,2,1,0.0
11,2,1,0.013671875
12,2,1,0.2265625
13,2,1,0.107421875
14,2,1,0.123046875
15,2,1,0.15185546875
16,2,1,0.21435546875
17,2,1,0.10986328125
18,2,1,0.189453125
19,2,1,0.75537109375
20,2,1,0.13623046875
21,2,1,0.07861328125
22,2,1,0.08447265625
23,2,1,0.138671875
24,2,1,0.2451171875
02,6,1,0.0
03,6,1,0.0
04,6,1,0.0
05,6,1,0.0
06,6,1,0.0
07,6,1,0.0
08,6,1,0.0
10,6,1,0.0
11,6,1,0.0
12,6,1,0.0
13,6,1,0.0
14,6,1,0.0
15,6,1,0.0
16,6,1,0.0
17,6,1,0.0
18,6,1,0.0
19,6,1,0.0
20,6,1,0.0
21,6,1,0.0
22,6,1,0.0
23,6,1,0.0
24,6,1,0.0
02,1,2,0.0029296875
03,1,2,0.08837890625
04,1,2,0.0947265625
05,1,2,0.44921875
06,1,2,0.14794921875
07,1,2,0.20703125
08,1,2,0.66650390625
10,1,2,0.24609375
11,1,2,0.056640625
12,1,2,0.15966796875
13,1,2,0.1953125
14,1,2,0.26123046875
15,1,2,0.087890625
16,1,2,0.0625
17,1,2,0.34619140625
18,1,2,0.18310546875
19,1,2,0.86669921875
20,1,2,0.61376953125
21,1,2,0.12744140625
22,1,2,0.3798828125
23,1,2,0.16552734375
24,1,2,0.24560546875
02,2,2,0.072265625
03,2,2,0.38134765625
04,2,2,0.76171875
05,2,2,0.19970703125
06,2,2,0.4775390625
07,2,2,0.0166015625
08,2,2,0.0810546875
10,2,2,0.0
11,2,2,0.19189453125
12,2,2,0.123046875
13,2,2,0.3330078125
14,2,2,0.1328125
15,2,2,0.1484375
16,2,2,0.08984375
17,2,2,0.099609375
18,2,2,0.1806640625
19,2,2,0.6552734375
20,2,2,0.09912109375
21,2,2,0.0859375
22,2,2,0.103515625
23,2,2,0.10498046875
24,2,2,0.2587890625
02,6,2,0.0
03,6,2,0.0
04,6,2,0.064453125
05,6,2,0.0009765625
06,6,2,0.0
07,6,2,0.10400390625
08,6,2,0.2353515625
10,6,2,0.0
11,6,2,0.0322265625
12,6,2,0.009765625
13,6,2,0.12841796875
14,6,2,0.01904296875
15,6,2,0.001953125
16,6,2,0.02685546875
17,6,2,0.0
18,6,2,0.02734375
19,6,2,0.0
20,6,2,0.0
21,6,2,0.0
22,6,2,0.13232421875
23,6,2,0.0
24,6,2,0.0
02,1,3,0.013671875
03,1,3,0.0849609375
04,1,3,0.12158203125
05,1,3,0.556640625
06,1,3,0.14892578125
07,1,3,0.21826171875
08,1,3,0.8388671875
10,1,3,0.25244140625
11,1,3,0.05615234375
12,1,3,0.1630859375
13,1,3,0.23583984375
14,1,3,0.24169921875
15,1,3,0.0849609375
16,1,3,0.0625
17,1,3,0.513671875
18,1,3,0.26171875
19,1,3,0.82275390625
20,1,3,0.43310546875
21,1,3,0.1279296875
22,1,3,0.58447265625
23,1,3,0.1669921875
24,1,3,0.24609375
02,2,3,0.07421875
03,2,3,0.2841796875
04,2,3,0.78857421875
05,2,3,0.220703125
06,2,3,0.57763671875
07,2,3,0.01904296875
08,2,3,0.08203125
10,2,3,0.00390625
11,2,3,0.45947265625
12,2,3,0.12158203125
13,2,3,0.53271484375
14,2,3,0.1328125
15,2,3,0.1484375
16,2,3,0.1064453125
17,2,3,0.09912109375
18,2,3,0.1923828125
19,2,3,0.828125
20,2,3,0.1015625
21,2,3,0.08544921875
22,2,3,0.15966796875
23,2,3,0.130859375
24,2,3,0.25244140625
02,6,3,0.0
03,6,3,0.04541015625
04,6,3,0.44140625
05,6,3,0.0107421875
06,6,3,0.001953125
07,6,3,0.345703125
08,6,3,0.1875
10,6,3,0.0
11,6,3,0.05810546875
12,6,3,0.07080078125
13,6,3,0.40673828125
14,6,3,0.115234375
15,6,3,0.00439453125
16,6,3,0.20947265625
17,6,3,0.0
18,6,3,0.10595703125
19,6,3,0.0
20,6,3,0.00390625
21,6,3,0.0
22,6,3,0.1513671875
23,6,3,0.03125
24,6,3,0.0126953125
02,1,4,0.01953125
03,1,4,0.09228515625
04,1,4,0.15283203125
05,1,4,0.61669921875
06,1,4,0.15576171875
07,1,4,0.22802734375
08,1,4,0.87890625
10,1,4,0.25439453125
